1	المجلد الأول
1	المؤلف والكتاب
1	كلمة الناشر
3	مقدمة المؤلف
11	المقدمة في فضل علم التاريخ وتحقيق مذاهبه والالماع لما يعرض للمؤرخين من المغالط وذكر شيء من أسبابها
16	فصل
44	الكتاب الأول في طبيعة العمران في الخليقة وما يعرض فيها من البدو والحضر والتغلب والكسب والمعاش والصنائع والعلوم ونحوها وما لذلك من العلل والأسباب
52	الباب الأول من الكتاب الأول في العمران البشري على الجملة وفيه مقدمات
52	الأولى في أن الاجتماع الإنساني ضروري
55	المقدمة الثانية في قسط العمران من الأرض والإشارة إلى بعض ما فيه من الأشجار [١] والأنهار والأقاليم
61	تكملة لهذه المقدمة الثانية في أن الربع الشمالي من الأرض أكثر عمرانا من الربع الجنوبي وذكر السبب في ذلك
65	تفصيل الكلام على هذه الجغرافيا
66	الإقليم الأول،
71	الإقليم الثاني:
73	الإقليم الثالث:
80	الإقليم الرابع:
88	الإقليم الخامس:
95	الإقليم السادس.
98	الإقليم السابع:
101	المقدمة الثالثة في المعتدل من الأقاليم والمنحرف وتأثير الهواء في ألوان البشر والكثير في أحوالهم
106	المقدمة الرابعة في أثر الهواء في أخلاق البشر
107	المقدمة الخامسة في اختلاف أحوال العمران في الخصب والجوع وما ينشأ عن ذلك من الآثار في أبدان البشر وأخلاقهم
113	المقدمة السادسة في أصناف المدركين من البشر بالفطرة أو الرياضة ويتقدمه الكلام في الوحي والرؤيا
118	ولنذكر الآن تفسير حقيقة النبوة على ما شرحه كثير من المحققين ثم نذكر حقيقة الكهانة ثم الرؤيا ثم شان العرافين وغير ذلك من مدارك الغيب
120	أصناف النفوس البشرية
121	الوحي
123	الكهانة
126	الرؤيا
129	فصل:
130	فصل:
140	فصل
147	الباب الثاني في العمران البدوي والأمم الوحشية والقبائل وما يعرض في ذلك من الأحوال وفيه فصول وتمهيدات
147	الفصل الأول في أن أجيال البدو والحضر طبيعية
149	الفصل الثاني في أن جيل العرب في الخلقة طبيعي
150	الفصل الثالث في أن البدو أقدم من الحضر وسابق عليه وان البادية أصل العمران والأمصار مدد لها
151	الفصل الرابع في أن أهل البدو أقرب إلى الخير من أهل الحضر
153	الفصل الخامس في أن أهل البدو أقرب إلى الشجاعة من أهل الحضر
155	الفصل السادس في أن معاناة أهل الحضر للأحكام مفسدة للبأس فيهم ذاهبة بالمنعة منهم
157	الفصل السابع في أن سكنى البدو لا تكون إلا للقبائل أهل العصبية
158	الفصل الثامن في أن العصبية إنما تكون من الالتحام بالنسب أو ما في معناه
159	الفصل التاسع في أن الصريح من النسب إنما يوجد للمتوحشين في القفر من العرب ومن في معناهم
161	الفصل العاشر في اختلاط الأنساب كيف يقع
162	الفصل الحادي عشر [١] في أن الرئاسة لا تزال في نصابها المخصوص من أهل العصبية
163	الفصل الثاني عشر في ان الرئاسة على أهل العصبية لا تكون في غير نسبهم
165	الفصل الثالث عشر في أن البيت والشرف بالاصالة والحقيقة لأهل العصبية ويكون لغيرهم بالمجاز والشبه
167	الفصل الرابع عشر في أن البيت والشرف للموالي وأهل الاصطناع إنما هو بمواليهم لا بأنسابهم
168	الفصل الخامس عشر في أن نهاية الحسب في العقب الواحد أربعة اباء
170	الفصل السادس عشر في أن الأمم الوحشية أقدر على التغلب ممن سواها
172	الفصل السابع عشر في ان الغاية التي تجري إليها العصبية هي الملك
173	الفصل الثامن عشر في أن من عوائق الملك حصول الترف وانغماس القبيل في النعيم
174	الفصل التاسع عشر في أن من عوائق الملك المذلة للقبيل والانقياد إلى سواهم
176	الفصل العشرون في أن من علامات الملك التنافس في الخلال الحميدة وبالعكس
179	الفصل الحادي والعشرون في أنه إذا كانت الأمة وحشية كان ملكها أوسع
180	الفصل الثاني والعشرون في أن الملك إذا ذهب عن بعض الشعوب من أمة فلا بد من عوده إلى شعب آخر منها ما دامت لهم العصبية
182	الفصل الثالث والعشرون في أن المغلوب مولع أبدا بالاقتداء بالغالب في شعاره وزيه ونحلته وسائر أحواله وعوائده
183	الفصل الرابع والعشرون في أن الأمة إذا غلبت وصارت في ملك غيرها أسرع إليها الفناء
184	الفصل الخامس والعشرون في أن العرب لا يتغلبون إلا على البسائط
185	الفصل السادس والعشرون في أن العرب إذا تغلبوا على أوطان أسرع إليها الخراب
187	الفصل السابع والعشرون في أن العرب لا يحصل لهم الملك إلا بصبغة دينية من نبوة أو ولاية أو أثر عظيم من الدين على الجملة
187	الفصل الثامن والعشرون في أن العرب أبعد الأمم عن سياسة الملك
189	الفصل التاسع والعشرون في أن البوادي من القبائل والعصائب مغلوبون لأهل الأمصار
191	الباب الثالث من الكتاب الأول في الدول العامة والملك والخلافة والمراتب السلطانية وما يعرض في ذلك كله من الأحوال وفيه قواعد ومتممات
191	الفصل الأول في أن الملك والدولة العامة إنما يحصلان بالقبيل والعصبية
192	الفصل الثاني في أنه إذا استقرت الدولة وتمهدت فقد تستغني عن العصبية
194	الفصل الثالث في أنه قد يحدث لبعض أهل النصاب الملكي دولة تستغني عن العصبية
195	الفصل الرابع في أن الدول العامة الاستيلاء العظيمة الملك أصلها الدين اما من نبوة أو دعوة حق
196	الفصل الخامس في أن الدعوة الدينية تزيد الدولة في أصلها قوة على قوة العصبية التي كانت لها من عددها
197	الفصل السادس في أن الدعوة الدينية من غير عصبية لا تتم
200	الفصل السابع في أن كل دولة لها حصة من الممالك والأوطان لا تزيد عليها
202	الفصل الثامن في أن عظم الدولة واتساع نطاقها وطول أمدها على نسبة القائمين بها في القلة والكثرة
204	الفصل التاسع في ان الأوطان الكثيرة القبائل والعصائب قل ان تستحكم فيها دولة
206	الفصل العاشر في ان من طبيعة الملك الانفراد بالمجد
207	الفصل الحادي عشر في ان من طبيعة الملك الترف
208	الفصل الثاني عشر في ان من طبيعة الملك الدعة والسكون
208	الفصل الثالث عشر في أنه إذا تحكمت طبيعة الملك من الانفراد بالمجد وحصول الترف والدعة أقبلت الدولة على الهرم
211	الفصل الرابع عشر في أن الدولة لها أعمار طبيعية كما للأشخاص
213	الفصل الخامس عشر في انتقال الدولة من البداوة إلى الحضارة
216	الفصل السادس عشر في أن الترف يزيد الدولة في أولها قوة إلى قوتها
217	الفصل السابع عشر في أطوار الدولة واختلاف أحوالها وخلق أهلها باختلاف الأطوار
219	الفصل الثامن عشر في أن آثار الدولة كلها على نسبة قوتها في أصلها
227	الفصل التاسع عشر في استظهار صاحب الدولة على قومه وأهل عصبيته بالموالي والمصطنعين
228	الفصل العشرون في أحوال الموالي والمصطنعين في الدول
230	الفصل الحادي والعشرون فيما يعرض في الدول من حجر السلطان والاستبداد عليه
231	الفصل الثاني والعشرون في ان المتغلبين على السلطان لا يشاركونه في اللقب الخاص بالملك
232	الفصل الثالث والعشرون في حقيقة الملك وأصنافه
234	الفصل الرابع والعشرون في أن إرهاف الحد مضر بالملك ومفسد له في الأكثر
235	الفصل الخامس والعشرون في معنى الخلافة والإمامة
237	الفصل السادس والعشرون في اختلاف الأمة في حكم هذا المنصب وشروطه
244	الفصل السابع والعشرون في مذاهب الشيعة في حكم الإمامة
251	الفصل الثامن والعشرون في انقلاب الخلافة إلى الملك
259	الفصل التاسع والعشرون في معنى البيعة
260	الفصل الثلاثون في ولاية العهد
262	وعرض هنا أمور تدعو الضرورة إلى بيان الحق فيها.
262	فالأول منها ما حدث في يزيد من الفسق أيام خلافته
263	والأمر الثاني هو شأن العهد مع النبي صلى الله عليه وسلم وما تدعيه الشيعة من وصيته لعلي رضي الله عنه
264	والأمر الثالث شأن الحروب الواقعة في الإسلام بين الصحابة والتابعين
270	الفصل الحادي والثلاثون في الخطط الدينية الخلافية
271	فأما إمامة الصلاة
272	وأما الفتيا
273	وأما القضاء
278	العدالة:
278	الحسبة والسكة
